Sequence, Loop, Test, Mid_Date, Maxdif, Dist, Span, IQR, Ihat, Ndate, SD, Group
   1,   1,    1,    1095,     220,     200,     210,     230,     218,   25,   50, "N 25/S 50"
   2,   1,    2,    1075,     250,     210,     270,     160,     240,   25,   50, "N 25/S 50"
   3,   1,    3,    1090,     170,     140,     230,     150,     174,   25,   50, "N 25/S 50"
   4,   1,    4,    1120,     110,     160,     270,     110,     191,   25,   50, "N 25/S 50"
   5,   1,    5,    1085,     240,     210,     260,     110,     254,   25,   50, "N 25/S 50"
   6,   1,    6,    1100,     190,     160,     150,     180,     176,   25,   50, "N 25/S 50"
   7,   1,    7,    1080,     180,     160,     160,     270,     187,   25,   50, "N 25/S 50"
   8,   1,    8,    1070,     230,     200,     300,     160,     224,   25,   50, "N 25/S 50"
   9,   1,    9,    1110,     170,     150,     160,     210,     167,   25,   50, "N 25/S 50"
  10,   1,   10,    1080,     160,     130,     100,     220,     146,   25,   50, "N 25/S 50"
  11,   1,   11,    1095,      50,     140,     180,     140,     169,   25,   50, "N 25/S 50"
  12,   1,   12,    1105,     200,     190,     260,     180,     206,   25,   50, "N 25/S 50"
  13,   1,   13,    1120,      10,       0,       0,      90,      -1,   25,   50, "N 25/S 50"
  14,   1,   14,    1100,     230,     150,     100,     240,     167,   25,   50, "N 25/S 50"
  15,   1,   15,    1085,     180,     130,     150,     190,     145,   25,   50, "N 25/S 50"
  16,   1,   16,    1065,     170,      70,      70,     190,     105,   25,   50, "N 25/S 50"
  17,   1,   17,    1095,     170,     180,     180,     160,     200,   25,   50, "N 25/S 50"
  18,   1,   18,    1100,     230,     220,     250,     220,     245,   25,   50, "N 25/S 50"
  19,   1,   19,    1120,     300,     270,     270,     300,     288,   25,   50, "N 25/S 50"
  20,   1,   20,    1075,     100,     120,      90,     210,     148,   25,   50, "N 25/S 50"
  21,   1,   21,    1095,     120,     130,     230,      90,     164,   25,   50, "N 25/S 50"
  22,   1,   22,    1085,     100,     150,     160,     150,     178,   25,   50, "N 25/S 50"
  23,   1,   23,    1085,     210,     150,     170,     220,     169,   25,   50, "N 25/S 50"
  24,   1,   24,    1110,     130,     180,     260,     100,     209,   25,   50, "N 25/S 50"
  25,   1,   25,    1090,     220,     150,     190,     110,     185,   25,   50, "N 25/S 50"
